"uuid","event_year","event_datetime","round","round_number","stadium","city","country","participant_team","goals_scored","goals_received","is_winner"
"3042d5a6-34d2-27e3-a2c3-d6e25be3d6b1",1970,1970-06-21 09:00:00.000 -0300,Final,5,Estadio Azteca,Mexico City ,Mexico,Brazil,4,1,true
b96dfb1c-33a4-6a36-de59-49ff113c0bba,1958,1958-06-08 16:00:00.000 -0300,Group 2,1,Idrottsparken,Norrkï¿½Ping ,Sweden,Paraguay,3,7,false
"1105f3d6-2138-2533-c322-0d0b967be3b9",1994,1994-06-17 12:00:00.000 -0300,Group C,1,Soldier Field,Chicago ,USA,Bolivia,0,1,false
"50feeb5d-29ee-973a-bee7-fa32704a20a6",2010,2010-06-16 10:30:00.000 -0300,Group H,1,Mbombela Stadium,Nelspruit ,South Africa,Honduras,0,1,false
"076bf014-8f1f-41c4-7d58-6acf5f14dbfa",2010,2010-06-19 17:30:00.000 -0300,Group E,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Cameroon,1,2,false
"3402208b-84ac-5d19-12ab-6a9aa2bd0abf",2002,2002-06-18 17:30:00.000 -0300,Round of 16,2,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,Italy,1,2,false
"23be979b-07db-c22b-58de-f0ed22718c8e",2006,2006-06-15 18:00:00.000 -0300,Group B,1,Olympiastadion,Berlin ,Germany,Sweden,1,0,true
da93f534-bee3-1396-f1e2-b8b05f98d7f7,1974,1974-07-03 16:30:00.000 -0300,Group A,1,Westfalenstadion,Dortmund ,Germany,Brazil,0,2,false
bf29dcf9-f200-0bf4-48c6-812b9df7de37,1950,1950-06-25 12:00:00.000 -0300,Group 1,1,Independencia,Belo Horizonte ,Brazil,Yugoslavia,3,0,true
e3600075-798b-a9e4-eff8-88b3da75270e,1990,1990-06-08 15:00:00.000 -0300,Group B,1,Giuseppe Meazza,Milan ,Italy,Argentina,0,1,false
"3a21d9f7-ba4e-66b3-64f7-8d584dea93a4",1990,1990-06-21 18:00:00.000 -0300,Group F,1,Della Favorita,Palermo ,Italy,Republic of Ireland,1,1,false
"61da5241-e544-6036-8e12-9d3d69597867",1954,1954-06-17 14:50:00.000 -0300,Group 4,1,La Pontaise,Lausanne ,Switzerland,Switzerland,2,1,true
a651c903-b9e7-f855-d58f-a7211b59ac6e,1974,1974-06-18 16:30:00.000 -0300,Group 2,1,Parkstadion,Gelsenkirchen ,Germany,Zaire,0,9,false
"7f027a7d-1ddd-d8bd-83f5-6425d80b1f3a",2010,2010-06-19 13:00:00.000 -0300,Group D,1,Royal Bafokeng Sports Palace,Phokeng ,South Africa,Australia,1,1,false
"27f7f943-dd99-7d77-8d91-e9d65d04973d",1978,1978-06-18 13:45:00.000 -0300,Group A,1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,Austria,0,1,false
"58e7c509-83fa-1bdb-40f2-630838b3922e",1970,1970-06-20 13:00:00.000 -0300,Match for third place,1,Estadio Azteca,Mexico City ,Mexico,Germany FR,1,0,true
dbcd089b-1605-72d0-b8e8-d87afff989aa,1986,1986-06-06 09:00:00.000 -0300,Group D,1,Jalisco,Guadalajara ,Mexico,Brazil,1,0,true
"3290d4f6-8130-1f2c-2828-4ab672499c18",1930,1930-07-18 10:30:00.000 -0400,Group 3,1,Estadio Centenario,Montevideo ,Uruguay,Uruguay,1,0,true
"9bc570c0-ed86-6bc9-d8aa-13a0ce35ff1b",2006,2006-06-24 14:00:00.000 -0300,Round of 16,2,"FIFA World Cup Stadium, Munich",Munich ,Germany,Germany,2,0,true
"7bac0598-1cf1-bf8f-e611-263c98304cd5",2014,2014-06-30 14:00:00.000 -0300,Round of 16,2,Estadio Beira-Rio,Porto Alegre ,Brazil,Germany,2,1,true
"2113d08d-52fc-d4fc-1146-4ec846090151",1938,1938-06-05 13:00:00.000 -0400,First round,1,Stade Olympique,Colombes ,France,France,3,1,true
d3740031-27eb-8291-6bf3-f6d110499d27,1966,1966-07-15 15:30:00.000 -0400,Group 3,1,Goodison Park,Liverpool ,England,Brazil,1,3,false
"36234666-4b78-bae3-9966-913e9ea655a7",1954,1954-06-20 13:50:00.000 -0300,Group 2,1,St. Jakob,Basel ,Switzerland,Germany FR,3,8,false
"7f25efd0-b920-b078-1160-27cee6a706a2",1966,1966-07-25 15:30:00.000 -0400,Semi-finals,4,Goodison Park,Liverpool ,England,Germany FR,2,1,true
"5f415e12-25f8-dd42-c4b7-91f9e3d6a09f",2006,2006-06-22 18:00:00.000 -0300,Group F,1,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Brazil,4,1,true
bc569fb3-a33a-7507-72fa-ab9d17fc4909,2006,2006-06-26 14:00:00.000 -0300,Round of 16,2,Fritz-Walter-Stadion,Kaiserslautern ,Germany,Italy,1,0,true
"23584910-e740-de19-8ee4-42122997409a",2014,2014-07-04 10:00:00.000 -0300,Quarter-finals,3,Estadio do Maracana,Rio De Janeiro ,Brazil,Germany,1,0,true
"5888eb46-55bd-0506-5a39-03454dfe0a80",1986,1986-06-16 09:00:00.000 -0300,Round of 16,2,Jalisco,Guadalajara ,Mexico,Brazil,4,0,true
"9317f0f7-bae4-c452-0b52-574f4e55c2cf",1962,1962-06-13 11:30:00.000 -0300,Semi-finals,4,Nacional,Santiago De Chile ,Chile,Chile,2,4,false
ee36edaa-1aad-b5c5-8c4d-a7d3a35d19f4,1998,1998-06-22 18:00:00.000 -0300,Group G,1,Stade Municipal,Toulouse ,France,Romania,2,1,true
"15767eb3-324d-f32e-afae-0b5151db6138",1958,1958-06-15 16:00:00.000 -0300,Group 2,1,Eyravallen,Orebro ,Sweden,Scotland,1,2,false
"44a57595-8a5c-ec61-52b2-ab0432439321",1958,1958-06-15 11:00:00.000 -0300,Group 3,1,Rasunda Stadium,Solna ,Sweden,Wales,0,0,false
b4b4eed6-8b94-56cc-3be6-a74768250373,2010,2010-06-24 13:00:00.000 -0300,Group F,1,Ellis Park Stadium,Johannesburg ,South Africa,Slovakia,3,2,true
cbceb83f-24c2-f682-0ec2-91d18260d033,1982,1982-06-23 18:00:00.000 -0300,Group 3,1,Jose Rico Perez,Alicante ,Spain,El Salvador,0,2,false
"80c2b404-e8a1-037d-5adb-7862c1a0f6de",2010,2010-06-26 13:00:00.000 -0300,Round of 16,2,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,South Africa,Korea Republic,1,2,false
"6f068220-2dfe-378b-e3ad-72cf699d7d1a",2014,2014-06-25 13:00:00.000 -0300,Group E,1,Arena Amazonia,Manaus ,Brazil,Switzerland,3,0,true
e986def1-24ee-aeb7-da5b-9aacf3b157a6,1934,1934-06-03 12:30:00.000 -0400,Semi-finals,4,San Siro,Milan ,Italy,Austria,0,1,false
"1685ec41-a6ab-73f4-9f2a-2eb6e896717e",1998,1998-07-03 18:00:00.000 -0300,Quarter-finals,3,La Beaujoire,Nantes ,France,Denmark,2,3,false
eae9ac44-70e7-55a0-cacc-317f6821a315,2002,2002-06-08 15:00:00.000 -0300,Group G,1,Kashima Stadium,Ibaraki ,Korea/Japan,Croatia,2,1,true
"4b4b3bf0-66c3-7ddc-3d63-305a0a3eb93f",1974,1974-06-22 13:00:00.000 -0300,Group 2,1,Parkstadion,Gelsenkirchen ,Germany,Brazil,3,0,true
c1ea9075-7729-996b-1416-dbe6055c794b,1970,1970-06-17 13:00:00.000 -0300,Semi-finals,4,Estadio Azteca,Mexico City ,Mexico,Italy,4,3,true
ab179d46-83e1-4070-6668-ce3a57e66d3c,1934,1934-05-27 12:30:00.000 -0400,Preliminary round,1,Stadio Benito Mussolini,Turin ,Italy,Austria,3,2,true
d7fe912d-0aff-b149-7f94-0744e7d22ed2,1962,1962-06-02 12:00:00.000 -0300,Group 2,1,Nacional,Santiago De Chile ,Chile,Chile,2,0,true
b09b2223-2bd5-44f5-ee56-31375822830b,1990,1990-07-08 17:00:00.000 -0300,Final,5,Stadio Olimpico,Rome ,Italy,Argentina,0,1,false
b0abf729-a5d9-fbec-c87c-eb7c49f33f0c,1986,1986-06-01 09:00:00.000 -0300,Group D,1,Jalisco,Guadalajara ,Mexico,Brazil,1,0,true
"20636e44-95ca-17b4-53f2-3a1db2d7ced5",1990,1990-06-26 18:00:00.000 -0300,Round of 16,2,Renato Dall Ara,Bologna ,Italy,England,1,0,true
"15216016-29c2-2158-f2d2-a0e988e65e0c",2006,2006-06-15 15:00:00.000 -0300,Group B,1,Franken-Stadion,Nuremberg ,Germany,England,2,0,true
"17a7b6bb-419a-4243-e06c-347a90f13198",1970,1970-06-11 13:00:00.000 -0300,Group 2,1,Luis Dosal,Toluca ,Mexico,Israel,0,0,false
"09e4dc77-66d6-d6cf-cdc5-89e020498605",1962,1962-06-10 11:30:00.000 -0300,Quarter-finals,3,Carlos Dittborn,Arica ,Chile,Soviet Union,1,2,false
eebe3504-1650-400b-de78-3a1662f80fbe,2006,2006-06-11 12:00:00.000 -0300,Group C,1,Zentralstadion,Leipzig ,Germany,Serbia and Montenegro,0,1,false
d535a0f5-fd12-fee5-d07f-5a6007c7273b,1998,1998-07-11 18:00:00.000 -0300,Match for third place,1,Parc des Princes,Paris ,France,Croatia,2,1,true
"4829aa87-4418-7ab9-ec7f-cb50a79b554d",1982,1982-07-08 18:00:00.000 -0300,Semi-finals,4,Ramon Sanchez Pizjuan,Seville ,Spain,France,3,3,false
"859014b3-3d6b-bff8-513a-9dc26b1efae5",1982,1982-06-17 14:15:00.000 -0300,Group 2,1,Carlos Tartiere,Oviedo ,Spain,Chile,0,1,false
"3f90c34d-739c-7c88-297f-d8a81928196b",2010,2010-06-25 13:00:00.000 -0300,Group G,1,Durban Stadium,Durban ,South Africa,Portugal,0,0,false
e65726cb-7d80-879f-7e92-d7e9388bcfcd,2006,2006-06-22 13:00:00.000 -0300,Group E,1,Franken-Stadion,Nuremberg ,Germany,USA,1,2,false
"88190fc1-8498-3e92-5a06-254d7e7ea1a1",2010,2010-06-22 17:30:00.000 -0300,Group B,1,Peter Mokaba Stadium,Polokwane ,South Africa,Greece,0,2,false
c21df30f-3979-7dbc-1f9b-4c5d17710829,1930,1930-07-14 08:45:00.000 -0400,Group 2,1,Parque Central,Montevideo ,Uruguay,Yugoslavia,2,1,true
"010fd8f2-fb00-2e2b-b7c7-a521ea43ef56",2006,2006-06-21 13:00:00.000 -0300,Group D,1,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,Portugal,2,1,true
"1f3f2524-26c8-c83e-d91f-7a8cab8630be",1974,1974-06-15 13:00:00.000 -0300,Group 3,1,Niedersachsenstadion,Hanover ,Germany,Netherlands,2,0,true
c9e8bb1c-4a73-7c1d-d839-445da025ae83,1974,1974-06-19 16:30:00.000 -0300,Group 4,1,Neckarstadion,Stuttgart ,Germany,Italy,1,1,false
"3639820e-7911-becd-45ae-2f490c670b28",1934,1934-06-10 13:30:00.000 -0400,Final,5,Nazionale PNF,Rome ,Italy,Czechoslovakia,1,2,false
c3ca0e16-9010-be24-22bc-b112f1b08793,1990,1990-07-04 17:00:00.000 -0300,Semi-finals,4,Stadio delle Alpi,Turin ,Italy,Germany FR,1,1,true
e2c8dc1d-2ff9-2e78-6153-92f7472275e0,1970,1970-06-03 13:00:00.000 -0300,Group 4,1,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Morocco,1,2,false
"8711acb5-0822-62f7-4b6d-871b23e1c5fb",1982,1982-06-19 18:00:00.000 -0300,Group 3,1,Nuevo Estadio,Elche ,Spain,Belgium,1,0,true
"475059af-1054-8412-86d3-eacf4dd56905",1954,1954-06-17 15:00:00.000 -0300,Group 2,1,Hardturm,Zurich ,Switzerland,Korea Republic,0,9,false
"2d87f28e-06a3-77b2-fa0c-46fa567ea4db",1974,1974-06-18 16:30:00.000 -0300,Group 2,1,Waldstadion,Frankfurt/Main ,Germany,Scotland,0,0,false
c2c86620-ca97-049a-1f09-fc4bcd6791f8,2014,2014-06-24 14:00:00.000 -0300,Group C,1,Estadio Castelao,Fortaleza ,Brazil,Cï¿½te d'Ivoire,1,2,false
"981e7ffb-5fdd-29ff-f87b-c487ff44e923",2006,2006-06-17 15:00:00.000 -0300,Group E,1,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Ghana,2,0,true
"0508ce2a-d32b-cc8b-fd55-d0991137c2f6",1990,1990-06-10 14:00:00.000 -0300,Group A,1,Comunale,Florence ,Italy,USA,1,5,false
"59c153b2-ae52-ba2b-89f1-30d888db0505",1982,1982-07-11 17:00:00.000 -0300,Final,5,Santiago Bernabeu,Madrid ,Spain,Germany FR,1,3,false
aca01bfb-5c83-8e57-e1e5-6d5dd2455a06,1930,1930-07-20 09:00:00.000 -0400,Group 2,1,Estadio Centenario,Montevideo ,Uruguay,Brazil,4,0,true
f777c79a-747f-e961-9478-d05d880501aa,1998,1998-06-29 13:30:00.000 -0300,Round of 16,2,La Mosson,Montpellier ,France,Germany,2,1,true
d643c3cd-3f55-b8ef-4e84-6d6f04beb3c1,1986,1986-06-02 13:00:00.000 -0300,Group F,1,Estadio Universitario,Monterrey ,Mexico,Morocco,0,0,false
"3f14f1fb-b7f3-32e8-3b13-e6f91d10db60",2002,2002-06-14 17:30:00.000 -0300,Group D,1,Daejeon World Cup Stadium,Daejeon ,Korea/Japan,Poland,3,1,true
"29fc107b-83b2-7849-1395-7a7dcb283f39",2002,2002-06-25 17:30:00.000 -0300,Semi-finals,4,Seoul World Cup Stadium,Seoul ,Korea/Japan,Korea Republic,0,1,false
cf60dda5-3781-7802-fa59-bbd2dda05e00,2010,2010-06-25 17:30:00.000 -0300,Group H,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Chile,1,2,false
"8a793a5a-38ea-0193-4a12-21a4f1b5b508",2010,2010-06-20 17:30:00.000 -0300,Group G,1,Soccer City Stadium,Johannesburg ,South Africa,Cï¿½te d'Ivoire,1,3,false
f7ab9768-24a8-668a-360f-b4259f5d8177,1974,1974-06-14 13:00:00.000 -0300,Group 1,1,Olympiastadion,Berlin West ,Germany,Germany FR,1,0,true
"5c5e72e7-cf7d-91fd-ec5f-152e10d2f122",1954,1954-06-16 15:00:00.000 -0300,Group 1,1,La Pontaise,Lausanne ,Switzerland,France,0,1,false
"664aa392-7ea4-6e4d-97eb-216c51b6dd9b",2014,2014-06-14 15:00:00.000 -0300,Group D,1,Arena Amazonia,Manaus ,Brazil,England,1,2,false
"20ea1ebe-9ac5-aa48-b7ef-5cd9b3a4ca5c",1934,1934-05-27 12:30:00.000 -0400,Preliminary round,1,San Siro,Milan ,Italy,Switzerland,3,2,true
"981e7ffb-5fdd-29ff-f87b-c487ff44e923",2006,2006-06-17 15:00:00.000 -0300,Group E,1,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Czech Republic,0,2,false
"01785ac6-6ecd-2409-d952-8d3f32ac0137",1986,1986-06-25 13:00:00.000 -0300,Semi-finals,4,Estadio Azteca,Mexico City ,Mexico,Belgium,0,2,false
c96addbe-1376-adec-d7eb-7084ecbaaa68,1938,1938-06-19 13:00:00.000 -0400,Match for third place,1,Stade du Parc Lescure,Bordeaux ,France,Brazil,4,2,true
ec7b52ef-104d-4c0f-9048-c6f8b0c3559d,1974,1974-06-19 16:30:00.000 -0300,Group 3,1,Niedersachsenstadion,Hanover ,Germany,Uruguay,1,1,false
b9d5eb6c-dcfe-efd9-e046-82c0a2610e18,1974,1974-06-15 13:00:00.000 -0300,Group 3,1,Rheinstadion,Dï¿½Sseldorf ,Germany,Bulgaria,0,0,false
"03b7b856-ce5c-922d-40e0-b5172cdceda3",2014,2014-06-23 14:00:00.000 -0300,Group A,1,Estadio Nacional,Brasilia ,Brazil,Brazil,4,1,true
