"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
d5aa9519-274e-9b01-e749-38e658f1e012,2010,"17-Jun-10", 16:00 ,2010-06-17 13:00:00.000 -0300,Group B,1,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Greece,Nigeria,,Greece,Nigeria,false,2,,1,
d5d624ab-deb9-59ae-71a9-f3e8ab31084f,1962,"2-Jun-62", 15:00 ,1962-06-02 12:00:00.000 -0300,Group 3,1,Estadio Sausalito,Vina Del Mar ,Chile,Brazil,Czechoslovakia,,,,false,0,,0,
d5de75c3-a4c6-af4a-fc87-86f962fe964b,1990,"25-Jun-90", 21:00 ,1990-06-25 18:00:00.000 -0300,Round of 16,2,Stadio Olimpico,Rome ,Italy,Italy,Uruguay,,Italy,Uruguay,false,2,,0,
d5eef77f-1d7d-bc0f-0d28-21b6f064196a,2002,"16-Jun-02", 15:30 ,2002-06-16 12:30:00.000 -0300,Round of 16,2,Oita Stadium Big Eye,Oita ,Korea/Japan,Sweden,Senegal,Win on Golden Goal ,Senegal,Sweden,false,1,,2,
d61523cc-a181-d02e-7214-ba22b9e2f319,1998,"15-Jun-98", 14:30 ,1998-06-15 11:30:00.000 -0300,Group G,1,Stade Vï¿½lodrome,Marseilles ,France,England,Tunisia,,England,Tunisia,false,2,,0,
d6317ed2-0a0e-a95c-ebb0-9c968a5d7bd9,1990,"15-Jun-90", 17:00 ,1990-06-15 14:00:00.000 -0300,Group A,1,Comunale,Florence ,Italy,Austria,Czechoslovakia,,Czechoslovakia,Austria,false,0,,1,
d643c3cd-3f55-b8ef-4e84-6d6f04beb3c1,1986,"2-Jun-86", 16:00 ,1986-06-02 13:00:00.000 -0300,Group F,1,Estadio Universitario,Monterrey ,Mexico,Morocco,Poland,,,,false,0,,0,
d6c4f13d-bd18-e726-ebfe-4a7ef367f8e2,2014,"29-Jun-14", 17:00 ,2014-06-29 14:00:00.000 -0300,Round of 16,2,Arena Pernambuco,Recife ,Brazil,Costa Rica,Greece,Costa Rica win on penalties (5 - 3) ,Costa Rica,Greece,true,1,5,1,3
d72bdc49-1a7b-e0ec-105f-ba795823b5d8,2014,"17-Jun-14", 18:00 ,2014-06-17 15:00:00.000 -0300,Group H,1,Arena Pantanal,Cuiaba ,Brazil,Russia,Korea Republic,,,,false,1,,1,
d78fb04e-37ee-a4bc-eee5-e71b176f4429,2010,"18-Jun-10", 16:00 ,2010-06-18 13:00:00.000 -0300,Group C,1,Ellis Park Stadium,Johannesburg ,South Africa,Slovenia,USA,,,,false,2,,2,
